smiles,absorption wave length
Fc1cnc(Nc2ccccc2)nc1Nc1ccccc1,322.99
O=C1SC(c2ccc(Cl)c([N+](=O)[O-])c2)=N/C1=C/c1ccco1,406.55
COc1ccc(Nc2ncnc3ccc(OC)cc23)cc1,358.31
O=C(N/N=C/c1cccc([N+](=O)[O-])c1)c1ccc(Cl)cc1,342.61
CCC[C@H]1CCCCC[C@@H]1NC(C)=O,223.46
Cc1ccc(/C=C2/N=C(c3ccc(Cl)c([N+](=O)[O-])c3)OC2=O)o1,427.0
O=S(=O)(Nc1ccncc1)c1ccccc1,288.86
O=C(NNC(=O)c1ccccc1S)c1ccccc1S,313.91
C[C@]12CCC3=C(CCc4cc(O)ccc43)[C@@H]1CC[C@H]2O,276.77
CCS[C@H]1CCC(=O)N1S(=O)(=O)c1ccccc1,277.39
Cc1cc2nc3c4ccccc4n(CCN(C)C)c3nc2cc1C,394.44
CCCN(C#N)c1nc(NCC)nc(NC(C)C)n1,235.76
Cc1cc([C@@H](N)C(=O)O)c(C)s1,236.52
Clc1ccc2c(c1)CN(c1ccnc3ccccc13)C2,306.69
C[C@H](CC(=O)O)N[C@H](C)c1ccccc1,239.38
O=C(N/N=C/c1ccccc1O)[C@@H](O)c1ccccc1,323.35
Cc1cc(C)n(C(=O)COc2ccccc2)n1,303.37
c1ccc(-c2ccc(OCCN3CCCC3)cc2)cc1,274.18
CCOc1cccc2c1NC(C)(C)c1ssc(=S)c1-2,514.89
Cc1ccc(C2=N/C(=C/C=C/c3ccccc3)C(=O)O2)cc1,429.66
CC(C)(C)c1ccc(C2=N/C(=C/c3cccs3)C(=O)O2)cc1,394.62
Cn1cnc2c(NCc3ccccc3)ncnc21,253.85
CCN(CC)c1ccc(C=C(C#N)C#N)cc1,362.34
C[N+](C)(C)C[C@@H]1CCC[C@H]1O,164.4
CC1CCN(C(=O)c2cccs2)CC1,281.73
O=c1cc(-c2ccncc2)nc(-c2cccnc2)[nH]1,320.62
CC(=O)c1ccc(/N=C/c2ccc(N(C)C)cc2)cc1,363.96
CC[C@H]1CCNc2cc3oc(=O)cc(C(F)(F)F)c3cc21,350.82
N#Cc1ccccc1-c1cccc(-c2cnc3cnccn23)c1,332.55
O=C(N/N=C/c1ccc(Cl)cc1)c1cccc2c1OCCO2,314.53
Cc1ccc(NC(=O)c2cccnc2)c(C)c1,315.8
CCc1ccc(NC(=O)c2cccs2)cc1,319.13
Cc1ccc(NC(=O)c2cccs2)cc1C,322.59
CC(C)(C)C(=O)NCc1ccccc1,230.1
COc1ccc(/C=C/C(=O)NC2CCCCC2)cc1,306.41
O=S(=O)(Nc1ncccn1)c1ccc(F)cc1,277.26
COC(=O)c1cccc(N2CCCC2=O)c1,283.5
COC(=O)c1ccc(NS(C)(=O)=O)cc1,254.19
CC(=O)Nc1ccc(C(=O)Nc2cccc(Cl)c2)cc1,291.23
Cc1ccccc1NC(=O)Nc1ccccc1Cl,262.01
COc1cccc(NC(=O)c2cccnc2)c1,311.65
N=C(NNC(=O)c1ccccc1)c1ccccc1,300.42
CS(=O)(=O)Nc1ccc(F)c(F)c1,247.48
C=CCc1cccc(/C=N/NC(N)=S)c1O,381.48
Cc1ccc(S(=O)(=O)N2CCC[C@H]2c2cccs2)cc1,269.43
COc1ccc(Cl)cc1NS(C)(=O)=O,259.19
O=C(Nc1ccc(Cl)cc1)c1cccnc1,304.69
CC(C)NC(=O)c1cccc(Cl)c1,280.01
CC1(C)CCSc2ccc(C#Cc3ccc(C(=O)O)cn3)cc21,378.32
CC[C@H]1CCCCC[C@H]1NC(C)=O,225.26
Nc1ccc(Sc2nc3ccccc3s2)c(Cl)c1,280.17
CC(=O)Nc1ccc(C(=O)Nc2ccccc2)cc1,300.48
O=C(Nc1ccccc1Cl)NC1CCCCC1,261.03
O=S(=O)(Nc1cccc(F)c1)c1ccc(F)cc1,308.19
O=C(Nc1ccc2c(c1)OCCO2)c1ccc2ccccc2c1,360.02
CC[C@@H]1CCCCC[C@H]1NC(C)=O,224.86
Cc1ccc(NC(=O)c2cccnc2)cc1C,312.57
CC[C@H](C)NC(=O)c1ccc(OC)cc1,264.68
CCOc1ccc(/C=N/c2ccc3[nH]c(=O)[nH]c3c2)cc1OC,362.16
Clc1ccccc1/C=N\n1cnnc1,313.48
O=C(O)CCC(=O)Oc1ccccc1,228.3
Cc1ccc(C)n1-c1cccc(C(=O)O)c1,395.89
Cc1cc(C)cc(NC(=O)c2cccnc2)c1,307.42
O=c1sn(Cc2ccccc2)c(=S)n1Cc1ccccc1,333.68
O=C1OC(c2ccc(Cl)c([N+](=O)[O-])c2)=N/C1=C\c1ccccc1,395.24
Cc1cc([C@H](N)C(=O)O)c(C)s1,232.43
Cc1cccc(NS(C)(=O)=O)c1C,246.65
O=C1N[C@H](SCc2ccccc2)Nc2ccccc21,305.2
CCOc1cc(/C=N/n2nnnc2N)ccc1O,315.46
CCN(C(=O)c1cccnc1)c1ccccc1,288.73
CC(=O)c1sc2nc(C(C)(C)C)cc(C)c2c1N,346.27
Cc1cccc(NC(=O)c2cccnc2)c1,305.55
CC(C)Oc1ccccc1C(=O)Nc1ccnc2[nH]ncc12,293.12
O=C(N/N=C/c1c[nH]nc1-c1ccccc1)c1cccnc1,330.33
O=C(Nc1cccc(F)c1)c1cccnc1,297.43
C/C(=N/NC(=O)c1cnccn1)c1cccs1,355.31
CS(=O)(=O)Nc1ccc(F)cc1F,242.35
CCNC(=O)c1cc2c(O)cccc2n1C,311.01
O=C(Nc1ccccc1Cl)c1cccnc1,294.73
C[C@]12CC[C@H]3C(=CCc4cc(O)ccc43)[C@@H]1CC[C@H]2O,249.15
Cc1c(Cl)cccc1NS(C)(=O)=O,249.13
COc1ccc(C(=O)N2CCC[C@H](C)C2)cc1,265.09
CCOC(=O)N/N=C/c1ccc(OC)cc1OC,299.06
COc1ccc(CNS(C)(=O)=O)cc1,243.84
CC(C)C(=O)Nc1nc2ccccc2s1,270.76
O=C(O)c1ccc(/N=C/c2cc([N+](=O)[O-])ccc2O)cc1O,341.7
O=C1OC(c2ccc(Cl)c([N+](=O)[O-])c2)=N/C1=C/c1ccccc1,387.69
CS(=O)(=O)Nc1cc(C(F)(F)F)ccc1Cl,250.67
CS(=O)(=O)N1CCc2ccccc2C1,233.34
